 PedCrashID,crashalcoh,excsspdind,ped_pos,drvr_injur,hit_run,drvr_estsp,exceedSpeed, speed_limi
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='31-35 mph', PedCrashID=84, exceedSpeed=0, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=85, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='6-10 mph', PedCrashID=86, exceedSpeed=-15, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Paved Shoulder / Bike Lane / Parking Lane', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='41-45 mph', PedCrashID=87, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=88, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=89, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Paved Shoulder / Bike Lane / Parking Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=90, exceedSpeed=-30, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=91, exceedSpeed=-1, speed_limi=Unknown}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=92, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=93, exceedSpeed=-40, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=94, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=95, exceedSpeed=-30, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=96, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=97, exceedSpeed=-10, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=98, exceedSpeed=-25, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='C: Possible Injury', hit_run='No', drvr_estsp='26-30 mph', PedCrashID=99, exceedSpeed=5, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Sidewalk / Shared Use Path / Driveway Crossing', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=100, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Other / Unknown', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='6-10 mph', PedCrashID=101, exceedSpeed=-25, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=102, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=103, exceedSpeed=-30, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='0-5 mph', PedCrashID=104, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='Unknown', PedCrashID=105, exceedSpeed=-1, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=106, exceedSpeed=-5, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=107, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=108, exceedSpeed=-15, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='Yes', drvr_estsp='0-5 mph', PedCrashID=109, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=110, exceedSpeed=-5, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='0-5 mph', PedCrashID=111, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='B: Evident Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=112, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=113, exceedSpeed=-5, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=114, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=115, exceedSpeed=-10, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='21-25 mph', PedCrashID=116, exceedSpeed=0, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='31-35 mph', PedCrashID=117, exceedSpeed=0, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=118, exceedSpeed=-10, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=119, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='Unknown Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=120, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=121, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='Yes', drvr_estsp='0-5 mph', PedCrashID=122, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=123, exceedSpeed=-10, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='Unknown Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=124, exceedSpeed=-30, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='36-40 mph', PedCrashID=125, exceedSpeed=-5, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=126, exceedSpeed=-30, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=127, exceedSpeed=-10, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=128, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='31-35 mph', PedCrashID=129, exceedSpeed=0, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=130, exceedSpeed=-1, speed_limi=Unknown}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=131, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=132, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=133, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='C: Possible Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=134, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=135, exceedSpeed=-20, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='Unknown Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=136, exceedSpeed=-1, speed_limi=Unknown}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=137, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=138, exceedSpeed=-5, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=139, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=140, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=141, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=142, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=143, exceedSpeed=-20, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=144, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='31-35 mph', PedCrashID=145, exceedSpeed=0, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=146, exceedSpeed=-40, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=147, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='36-40 mph', PedCrashID=148, exceedSpeed=5, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='16-20 mph', PedCrashID=149, exceedSpeed=-15, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='Unknown Injury', hit_run='No', drvr_estsp='6-10 mph', PedCrashID=150, exceedSpeed=-5, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='26-30 mph', PedCrashID=151, exceedSpeed=-15, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=152, exceedSpeed=0, speed_limi=40 - 45  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='41-45 mph', PedCrashID=153, exceedSpeed=-10, speed_limi=50 - 55  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=154, exceedSpeed=-10, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Crosswalk Area', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='31-35 mph', PedCrashID=155, exceedSpeed=0, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=156, exceedSpeed=-1, speed_limi=Unknown}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='0-5 mph', PedCrashID=157, exceedSpeed=-10, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Driveway / Alley', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=158, exceedSpeed=0, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='6-10 mph', PedCrashID=159, exceedSpeed=-5, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='Unknown', PedCrashID=160, exceedSpeed=-1, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='Unknown', PedCrashID=161, exceedSpeed=-1, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='Unknown Injury', hit_run='Yes', drvr_estsp='6-10 mph', PedCrashID=162, exceedSpeed=-5, speed_limi=5 - 15 MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='11-15 mph', PedCrashID=163, exceedSpeed=-20, speed_limi=30 - 35  MPH}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='16-20 mph', PedCrashID=164, exceedSpeed=-5, speed_limi=20 - 25  MPH}
ReasonPed{crashalcoh='No', excsspdind='No', ped_pos='Non-Roadway - Parking Lot / Other', drvr_injur='O: No Injury', hit_run='Yes', drvr_estsp='11-15 mph', PedCrashID=165, exceedSpeed=-1, speed_limi=Unknown}
ReasonPed{crashalcoh='Yes', excsspdind='No', ped_pos='Travel Lane', drvr_injur='O: No Injury', hit_run='No', drvr_estsp='31-35 mph', PedCrashID=166, exceedSpeed=-10, speed_limi=40 - 45  MPH}
